ID Parent + Date + Fingerpr;cParent;AA2090-010;BK0348;AY2889;749794-010;AH9608-010;Date;cFingerprint;Nosto ID 0/1;Google ID 0/1;Facebook ID 0/1;Instagram ID 0/1;Anders ID 0/1;fPrice;Basispreis;Preis/Basispreis;cOS;iOS;Android;Windows;nPageVisited;nBasketUnique;nBasket;Registered;LoggedIn;Basket 0/1;Bought 0/1
749794-010 - 43515 - 1185896483;749794-010;0;0;0;1;0;43515;1185896483;0;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43515 - 1196426684;749794-010;0;0;0;1;0;43515;1196426684;1;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;1;1;0;0;0;0
749794-010 - 43515 - 1273581366;749794-010;0;0;0;1;0;43515;1273581366;0;1;0;0;0;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43515 - 2924656567;749794-010;0;0;0;1;0;43515;2924656567;0;0;0;1;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43515 - 3055789031;749794-010;0;0;0;1;0;43515;3055789031;1;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;2;2;0;0;0;0
749794-010 - 43515 - 3302500064;749794-010;0;0;0;1;0;43515;3302500064;0;1;0;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43515 - 3478582585;749794-010;0;0;0;1;0;43515;3478582585;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43515 - 369367623;749794-010;0;0;0;1;0;43515;369367623;1;0;0;0;1;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43515 - 3763193559;749794-010;0;0;0;1;0;43515;3763193559;0;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43515 - 3949206512;749794-010;0;0;0;1;0;43515;3949206512;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43515 - 433378415;749794-010;0;0;0;1;0;43515;433378415;0;0;0;0;1;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43515 - 505578580;749794-010;0;0;0;1;0;43515;505578580;0;1;0;0;0;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43515 - 721966060;749794-010;0;0;0;1;0;43515;721966060;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43515 - 825416169;749794-010;0;0;0;1;0;43515;825416169;1;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1023936912;749794-010;0;0;0;1;0;43516;1023936912;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1040617379;749794-010;0;0;0;1;0;43516;1040617379;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 107459723;749794-010;0;0;0;1;0;43516;107459723;0;0;0;0;1;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1102846836;749794-010;0;0;0;1;0;43516;1102846836;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43516 - 1112243776;749794-010;0;0;0;1;0;43516;1112243776;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1151797198;749794-010;0;0;0;1;0;43516;1151797198;0;0;0;0;1;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1157939185;749794-010;0;0;0;1;0;43516;1157939185;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1191445298;749794-010;0;0;0;1;0;43516;1191445298;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1340084850;749794-010;0;0;0;1;0;43516;1340084850;0;0;0;0;1;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1354023980;749794-010;0;0;0;1;0;43516;1354023980;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1366671945;749794-010;0;0;0;1;0;43516;1366671945;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1382499421;749794-010;0;0;0;1;0;43516;1382499421;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1427998730;749794-010;0;0;0;1;0;43516;1427998730;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43516 - 144086096;749794-010;0;0;0;1;0;43516;144086096;0;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 1470523796;749794-010;0;0;0;1;0;43516;1470523796;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;1;0;1;0
749794-010 - 43516 - 1483313072;749794-010;0;0;0;1;0;43516;1483313072;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;1;1
749794-010 - 43516 - 1496030375;749794-010;0;0;0;1;0;43516;1496030375;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1566447300;749794-010;0;0;0;1;0;43516;1566447300;0;0;0;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1621908697;749794-010;0;0;0;1;0;43516;1621908697;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;1;1
749794-010 - 43516 - 1649057377;749794-010;0;0;0;1;0;43516;1649057377;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1660811733;749794-010;0;0;0;1;0;43516;1660811733;1;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 172516225;749794-010;0;0;0;1;0;43516;172516225;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1727986726;749794-010;0;0;0;1;0;43516;1727986726;0;0;1;0;0;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 1772153016;749794-010;0;0;0;1;0;43516;1772153016;0;0;0;0;1;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1820397894;749794-010;0;0;0;1;0;43516;1820397894;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1834987803;749794-010;0;0;0;1;0;43516;1834987803;1;0;1;0;0;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;1;0
749794-010 - 43516 - 1903789728;749794-010;0;0;0;1;0;43516;1903789728;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43516 - 190869564;749794-010;0;0;0;1;0;43516;190869564;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 1927189518;749794-010;0;0;0;1;0;43516;1927189518;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 203305753;749794-010;0;0;0;1;0;43516;203305753;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2037945159;749794-010;0;0;0;1;0;43516;2037945159;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2041445013;749794-010;0;0;0;1;0;43516;2041445013;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2063440133;749794-010;0;0;0;1;0;43516;2063440133;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 20766848;749794-010;0;0;0;1;0;43516;20766848;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2117181464;749794-010;0;0;0;1;0;43516;2117181464;1;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 2117922550;749794-010;0;0;0;1;0;43516;2117922550;0;0;0;0;1;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2126405206;749794-010;0;0;0;1;0;43516;2126405206;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2135318411;749794-010;0;0;0;1;0;43516;2135318411;0;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 2149478329;749794-010;0;0;0;1;0;43516;2149478329;0;0;0;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 215050758;749794-010;0;0;0;1;0;43516;215050758;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2253816967;749794-010;0;0;0;1;0;43516;2253816967;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2270794157;749794-010;0;0;0;1;0;43516;2270794157;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2271815950;749794-010;0;0;0;1;0;43516;2271815950;0;0;0;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2325364595;749794-010;0;0;0;1;0;43516;2325364595;0;1;0;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2368395352;749794-010;0;0;0;1;0;43516;2368395352;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43516 - 239520001;749794-010;0;0;0;1;0;43516;239520001;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2486309372;749794-010;0;0;0;1;0;43516;2486309372;1;0;0;0;1;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2513208013;749794-010;0;0;0;1;0;43516;2513208013;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2513445924;749794-010;0;0;0;1;0;43516;2513445924;0;0;0;0;1;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2518964161;749794-010;0;0;0;1;0;43516;2518964161;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2555039990;749794-010;0;0;0;1;0;43516;2555039990;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;1;0
749794-010 - 43516 - 2563142655;749794-010;0;0;0;1;0;43516;2563142655;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2587291859;749794-010;0;0;0;1;0;43516;2587291859;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;1;1
749794-010 - 43516 - 260245585;749794-010;0;0;0;1;0;43516;260245585;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;1;0
749794-010 - 43516 - 2619597163;749794-010;0;0;0;1;0;43516;2619597163;0;0;0;0;1;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2643449229;749794-010;0;0;0;1;0;43516;2643449229;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2673080361;749794-010;0;0;0;1;0;43516;2673080361;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2694642781;749794-010;0;0;0;1;0;43516;2694642781;1;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2718654794;749794-010;0;0;0;1;0;43516;2718654794;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2722981314;749794-010;0;0;0;1;0;43516;2722981314;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2754677117;749794-010;0;0;0;1;0;43516;2754677117;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2770640856;749794-010;0;0;0;1;0;43516;2770640856;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2775464957;749794-010;0;0;0;1;0;43516;2775464957;0;0;0;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
