ID Parent + Date + Fingerpr;cParent;AA2090-010;BK0348;AY2889;749794-010;AH9608-010;Date;cFingerprint;jBrowserData;Nosto ID 0/1;Google ID 0/1;Facebook ID 0/1;Instagram ID 0/1;Anders ID 0/1;fPrice;Basispreis;% vom Basispreis;cOS;iOS;Android;Windows;nPageVisited;n_bereitsinBasketUnique;n_bereitsinBasket;Registered;LoggedIn;Basket 0/1;Bought 0/1
749794-010 - 43515 - 1185896483;749794-010;0;0;0;1;0;19.2.2019;1185896483;"{""ua"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/64.0.3282.140 Safari\/537.36 Edge\/17.17134"",""browser"":{""name"":""Chrome"",""version"":""64.0.3282.140"",""major"":""64""},""engine"":{""name"":""WebKit"",""version"":""537.36""}}";0;0;0;0;1;45.95;45.95;1.0000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43515 - 1196426684;749794-010;0;0;0;1;0;19.2.2019;1196426684;"{""ua"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko\/20100101 Firefox\/65.0"",""browser"":{""name"":""Firefox"",""version"":""65.0"",""major"":""65""},""engine"":{""name"":""Gecko"",""version"":""65.0""}}";1;0;0;0;1;45.95;45.95;1.0000;Windows;0;0;1;2;1;1;0;0;0;0
749794-010 - 43515 - 1273581366;749794-010;0;0;0;1;0;19.2.2019;1273581366;"{""ua"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/72.0.3626.109 Safari\/537.36"",""browser"":{""name"":""Chrome"",""version"":""72.0.3626.109"",""major"":""72""},""engine"":{""name"":""WebKit"",""version"":""537.36""}}";0;1;0;0;0;45.95;45.95;1.0000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43515 - 2924656567;749794-010;0;0;0;1;0;19.2.2019;2924656567;"{""ua"":""Mozilla\/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit\/605.1.15 (KHTML, like Gecko) Mobile\/16A366 Instagram 80.0.0.12.107 (iPhone6,2; iOS 12_0; de_DE; de; scale=2.00; gamut=normal; 640x1136; 141411970)"",""browser"":{""name"":""WebKit"",""version"":""605.1.15"",""major"":""605""},""engine"":{""name"":""WebKit"",""version"":""605.1.15""}}";0;0;0;1;0;45.95;45.95;1.0000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43515 - 3055789031;749794-010;0;0;0;1;0;19.2.2019;3055789031;"{""ua"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/64.0.3282.140 Safari\/537.36 Edge\/18.17763"",""browser"":{""name"":""Chrome"",""version"":""64.0.3282.140"",""major"":""64""},""engine"":{""name"":""WebKit"",""version"":""537.36""}}";1;0;0;0;1;45.95;45.95;1.0000;Windows;0;0;1;2;2;2;0;0;0;0
749794-010 - 43515 - 3302500064;749794-010;0;0;0;1;0;19.2.2019;3302500064;"{""ua"":""Mozilla\/5.0 (iPad; CPU OS 12_1_1 like Mac OS X) AppleWebKit\/605.1.15 (KHTML, like Gecko) Version\/12.0 Mobile\/15E148 Safari\/604.1"",""browser"":{""name"":""Mobile Safari"",""version"":""12.0"",""major"":""12""},""engine"":{""name"":""WebKit"",""version"":""605.1.15""}}";0;1;0;0;0;45.95;45.95;1.0000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43515 - 3478582585;749794-010;0;0;0;1;0;19.2.2019;3478582585;"{""ua"":""Mozilla\/5.0 (Linux; Android 8.0.0; ANE-LX1 Build\/HUAWEIANE-LX1; wv) AppleWebKit\/537.36 (KHTML, like Gecko) Version\/4.0 Chrome\/72.0.3626.105 Mobile Safari\/537.36 [FB_IAB\/FB4A;FBAV\/208.0.0.38.104;]"",""browser"":{""name"":""Chrome"",""version"":""72.0.3626.105"",""major"":""72""},""engine"":{""name"":""WebKit"",""version"":""537.36""}}";0;0;1;0;0;45.95;45.95;1.0000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43515 - 369367623;749794-010;0;0;0;1;0;19.2.2019;369367623;"{""ua"":""Mozilla\/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit\/605.1.15 (KHTML, like Gecko) Mobile\/16B92 Instagram 80.0.0.12.107 (iPhone9,3; iOS 12_1; de_DE; de; scale=2.00; gamut=wide; 750x1334; 141411970)"",""browser"":{""name"":""WebKit"",""version"":""605.1.15"",""major"":""605""},""engine"":{""name"":""WebKit"",""version"":""605.1.15""}}";1;0;0;0;1;45.95;45.95;1.0000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43515 - 3763193559;749794-010;0;0;0;1;0;19.2.2019;3763193559;"{""ua"":""Mozilla\/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko\/20100101 Firefox\/65.0"",""browser"":{""name"":""Firefox"",""version"":""65.0"",""major"":""65""},""engine"":{""name"":""Gecko"",""version"":""65.0""}}";0;0;0;0;1;45.95;45.95;1.0000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43515 - 3949206512;749794-010;0;0;0;1;0;19.2.2019;3949206512;"{""ua"":""Mozilla\/5.0 (Linux; Android 7.0; HUAWEI VNS-L21 Build\/HUAWEIVNS-L21; wv) AppleWebKit\/537.36 (KHTML, like Gecko) Version\/4.0 Chrome\/72.0.3626.105 Mobile Safari\/537.36 [FB_IAB\/FB4A;FBAV\/208.0.0.38.104;]"",""browser"":{""name"":""Chrome"",""version"":""72.0.3626.105"",""major"":""72""},""engine"":{""name"":""WebKit"",""version"":""537.36""}}";0;0;1;0;0;45.95;45.95;1.0000;Android;0;1;0;2;0;0;0;0;0;0
